Kabupaten/Kota,Jumlah Desa/Kelurahan yang Mengalami Bencana Alam - Banjir,Jumlah Desa/Kelurahan yang Mengalami Bencana Alam - Gempa Bumi,Jumlah Desa/Kelurahan yang Mengalami Bencana Alam - Tanah Longsor
Kepulauan Seribu,,,
Kota Jakarta Selatan,39,,4
Kota Jakarta Timur,32,,2
Kota Jakarta Pusat,7,,
Kota Jakarta Barat,21,,
Kota Jakarta Utara,9,1,
DKI Jakarta,108,1,6
,,,
Catatan,,,
1 Desa pada tabel ini termasuk Unit Permukiman Transmigrasi (UPT) yang masih dibina oleh kementerian terkait dan nagari di Provinsi Sumatera Barat/ Villages in this table are included in Transmigration Settlement Unit which is still fostered by the relevant ministries and the nagari in the Province of Sumatera Barat ,,,
2Terjadi dalam tiga tahun terakhir sampai dengan saat pencacahan/ Occured during the last three years by the time of enumeration ,,,
