Kabupaten/Kota,Jumlah Bencana Alam - Gempa Bumi,Jumlah Bencana Alam - Tsunami,Jumlah Bencana Alam - Gempa Bumi dan Tsunami,Jumlah Bencana Alam - Letusan Gunung Api,Jumlah Bencana Alam - Tanah Longsor,Jumlah Bencana Alam - Banjir,Jumlah Bencana Alam - Kekeringan,Jumlah Bencana Alam - Kebakaran Hutan dan Lahan,Jumlah Bencana Alam - Cuaca Ekstrem,Jumlah Bencana Alam - Gelombang Pasang/Abrasi
Kepulauan Seribu,,,,,,,,,,
Kota Jakarta Selatan,,,,,4,2,,,2,
Kota Jakarta Timur,,,,,2,3,,,,
Kota Jakarta Pusat,,,,,,,,,,
Kota Jakarta Barat,,,,,1,2,,,1,
Kota Jakarta Utara,,,,,,1,,,,
DKI Jakarta,,,,,7,7,,,3,
,,,,,,,,,,
Catatan,,,,,,,,,,
_,,,,,,,,,,
