State,County,Life Expectancy,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Adults Reporting Currently Smoking,% Adults with Obesity,% With Access to Exercise Opportunities,% Excessive Drinking,# Chlamydia Cases,# Dentists,# Mental Health Providers,# Completed High School,# Unemployed,% Children in Poverty,Average Daily PM2.5,% Severe Housing Problems,# Workers who Drive Alone,% Frequent Mental Distress,% Adults with Diabetes,# Limited Access to Healthy Foods,# Uninsured Adults,# Uninsured Children,Average Grade Performance,Median Household Income,% Less than 18 Years of Age,% 65 and Over
California,Alameda,82.2,14338,4981,13,3.0,5.1,7,9,25,100,16,7448,1693,12233,1065102,27202,10,9.4,23,827327,14,9,16876,61348,9457,3.0,121190,19.5,15.7
California,Amador,78.8,666,7465,15,3.6,5.5,6,13,30,62,18,65,26,121,28869,634,12,6.4,18,15508,16,9,36,1285,197,2.5,74356,15.3,27.9
California,Butte,76.6,3331,8800,17,3.8,5.8,6,15,31,82,17,1030,168,1772,125518,4100,19,7.1,21,91975,18,10,14192,11350,1397,2.5,63353,20.0,18.5
California,Calaveras,78.6,795,8757,16,4.0,5.8,7,15,31,76,16,12,23,106,32775,811,16,5.5,18,17014,18,9,2730,1972,343,2.4,73175,17.3,28.9
California,Colusa,79.5,230,6261,22,4.3,5.5,6,14,33,77,17,57,8,50,10274,1186,14,7.0,17,9477,17,12,2647,1769,377,2.6,72963,26.4,16.1
California,Contra Costa,81.6,10669,5388,14,3.1,4.6,7,10,24,97,17,4923,1081,4651,725350,19417,10,7.8,20,556391,14,9,30080,43494,8141,2.8,119667,21.7,17.4
California,Del Norte,74.6,579,10704,21,4.4,5.8,7,17,33,84,17,68,23,137,16367,479,23,6.1,19,9607,18,11,4133,1459,212,2.2,57297,20.9,20.5
California,El Dorado,81.1,2178,5834,13,3.2,5.4,7,11,28,87,18,359,153,819,133382,3151,7,7.0,18,86127,16,8,7710,6263,1143,2.9,104859,19.3,23.6
California,Fresno,76.6,12629,8530,21,4.1,5.2,7,14,37,84,15,6460,650,4880,488617,28910,25,11.7,26,411511,17,13,49773,58047,8682,2.7,68693,27.6,12.9
California,Glenn,76.2,424,9265,21,4.3,5.6,6,16,32,82,17,57,25,52,14375,686,19,7.8,22,12118,18,11,2459,2351,417,2.3,63247,26.7,17.2
California,Humboldt,76.4,2279,9032,17,4.1,6.2,6,16,33,89,19,478,111,795,85435,2373,21,6.8,25,58327,18,10,6112,7197,860,2.6,57660,18.5,20.0
California,Imperial,77.4,2325,8015,27,4.5,5.5,6,14,38,81,16,846,58,351,78541,10268,28,10.8,26,59335,17,15,13349,10161,1536,2.5,55523,28.1,13.8
California,Inyo,77.0,339,10104,15,3.6,5.4,8,13,29,87,17,55,15,95,12905,306,14,5.2,15,8094,16,9,1441,935,179,2.6,64332,20.2,24.7
California,Kern,74.9,13011,10111,23,4.3,5.5,8,16,37,85,17,5971,482,2214,423578,27161,24,12.9,24,351806,17,13,65742,60849,10171,2.4,65981,28.4,11.8
California,Kings,77.3,1767,7903,23,4.3,5.2,7,15,35,66,18,1030,97,361,70824,3949,21,12.3,21,56893,17,13,10438,7818,1538,2.5,63683,26.7,10.9
California,Lake,74.6,1485,11808,19,4.3,6.1,7,16,34,68,16,241,30,259,42403,1414,23,3.1,20,24313,18,11,1222,3840,528,2.3,51848,21.8,23.9
California,Lassen,76.5,517,9558,19,4.2,5.6,8,17,32,45,20,33,34,95,19108,399,17,6.0,15,8909,17,11,3246,1072,151,2.5,60308,18.3,17.5
California,Los Angeles,80.1,105949,6317,18,3.5,5.1,7,11,29,98,16,57048,9423,43347,5544997,244922,18,13.4,32,4737721,15,12,142660,768094,75771,2.7,82455,20.4,15.2
California,Madera,77.4,2033,8372,23,4.5,5.7,6,16,36,74,17,867,77,301,71365,3888,31,10.0,24,57706,18,13,8175,12100,1902,2.4,71273,27.1,14.5
